Category	Attribute	Rule type	Rule
Contactors	zz_Contact Current Rating	Validation	Anything outside 6 A – 800 A is not valid
Contactors	zz_Contact Current Rating	Validation	If Type = "Auxiliary", current rating must be null
Contactors	zz_Control Voltage	Default	If AC and frequency missing, default to 50/60 Hz
Contactors	zz_Terminal Type	Validation	If Type = “Power Contactor”, terminal type is required
Contactors	zz_Auxiliary Contact	Normalization	Normalize to format 1NO+1NC
Contactors	zz_Number of Poles	Normalization	“3P”, “3 Pole”, “Three Pole” normalize them to 3
Contactors	zz_Number of Poles	Normalization	1 + Shunt, normalize to 1 and move rest to special features
Contactors	zz_Mounting Type	Normalization	“On Rail”, “35mm rail” becomes "DIN Rail". “Screw mount”, “Bolt mount” becomes "Panel Mount"
Contactors	zz_Mounting Type	Normalization	if frame width < 50, DIN Rail Mount
Contactors	zz_Type	Normalization	If no current rating, set to Auxiliary
Contactors	zz_Type	Normalization	If reversing feature, set to Reversing Contactor
Contactors	zz_Type	Normalization	If < 9A + small frame, set to Mini Contactor
Limit Switch	zz_Head Type	Normalization	Must Not Contain Actuator Terms. “Booted”, “sealed”, “metal roller" should be moved to zz_Actuator Type
Limit Switch	zz_Actuator Type	Validation	If IP Rating > IP65, must be Booted or sealed
Limit Switch	zz_Voltage Rating	Validation	Supported ranges 24–250 V AC or 24–250 V DC
Limit Switch	zz_Voltage Rating	Normalization	If multiple ratings, use format 240VAC / 125VDC
Limit Switch	zz_Contact Form	Validation	If “bi-directional” or “snap action” in descriptions, expect SPDT
